REGISTRO,ANNO,NUMERO
PG,2023,62279
PG,2023,79656
PG,2023,107894
PG,2023,60933
PG,2023,73663
PG,2023,89698
PG,2023,43583
PG,2023,70661
PG,2023,58373
PG,2023,77294
PG,2023,65961
PG,2023,89362
PG,2023,66265
PG,2023,58907
PG,2023,61229
PG,2023,70301
PG,2023,82048
PG,2023,53096
PG,2023,32475
PG,2023,108459
PG,2023,65419
PG,2023,88321
PG,2023,111910
PG,2023,100807
PG,2023,55946
PG,2023,103488
PG,2023,61405
PG,2023,57238
PG,2023,74541
PG,2023,68450
PG,2023,66546
PG,2023,103092
PG,2023,74402
PG,2023,72660
PG,2023,107323
PG,2023,98835
PG,2023,77383
PG,2023,56456
PG,2023,76111
PG,2023,101293
PG,2023,81840
PG,2023,90043
PG,2023,76314
PG,2023,84701
PG,2023,54026
PG,2023,54993
PG,2023,101191
PG,2023,60570
PG,2023,83326
PG,2023,78872
PG,2023,93099
PG,2023,60586
PG,2023,65986
PG,2023,51351
PG,2023,68827
PG,2023,71044
PG,2023,50528
PG,2023,70921
PG,2023,56486
PG,2023,73780
PG,2023,40994
PG,2023,76571
PG,2023,74341
PG,2022,81803
PG,2023,69853
PG,2023,81275
PG,2023,109001
PG,2023,105284
PG,2023,86557
PG,2023,89132
PG,2023,59715
PG,2023,101130
PG,2023,104281
PG,2023,81165
PG,2023,78890
PG,2023,101737
PG,2023,69678
PG,2023,59613
PG,2023,67123
PG,2023,57834
PG,2023,88608
PG,2023,66231
PG,2023,54687
PG,2023,67920
PG,2023,82784
PG,2023,61183
PG,2023,103734
PG,2023,90005
PG,2023,76043
PG,2023,102536
PG,2023,78570
PG,2023,63769
PG,2023,91812
PG,2023,40420
PG,2023,43147
PG,2023,103277
PG,2023,59340
PG,2023,40134
PG,2023,100633
PG,2023,51559
PG,2023,78042
PG,2023,54511
PG,2023,81546
PG,2023,104095
PG,2023,72135
PG,2023,88811
PG,2023,70434
PG,2023,66975
PG,2023,53805
PG,2023,75716
PG,2023,66015
PG,2023,84127
PG,2023,67146
PG,2023,61683
PG,2023,110221
PG,2023,75597
PG,2023,71456
PG,2023,73121
PG,2023,104191
PG,2023,78796
PG,2023,87015
PG,2023,77176
PG,2023,43631
PG,2023,63897
PG,2023,108449
PG,2023,46159
PG,2023,53495
PG,2023,52269
PG,2023,57236
PG,2023,84928
PG,2023,92489
PG,2023,52831
PG,2023,77441
PG,2023,75574
PG,2023,102845
PG,2023,56123
PG,2023,79499
PG,2023,102032
PG,2023,88379
PG,2023,56858
PG,2023,71834
PG,2023,110844
PG,2023,60282
PG,2023,91847
PG,2023,102850
PG,2023,52968
PG,2023,56023
PG,2023,63846
PG,2023,6559
DETE,2023,2316
PG,2023,83133
PG,2023,87612
PG,2023,55088
PG,2023,53587
PG,2023,87027
PG,2023,65998
PG,2023,109196
PG,2023,56102
PG,2023,84711
PG,2023,82005
PG,2023,83689
PG,2023,75078
PG,2023,78073
PG,2023,72632
PG,2023,45486
PG,2023,81942
PG,2023,49835
PG,2023,65049
PG,2023,77554
PG,2023,65528
PG,2023,89678
PG,2023,79941
PG,2023,55513
PG,2023,83126
PG,2023,102357
PG,2023,65334
PG,2023,60175
PG,2023,100966
PG,2023,92633
PG,2023,57815
PG,2023,78901
PG,2023,85360
PG,2023,106807
PG,2023,45419
PG,2023,91380
PG,2023,60551
PG,2023,64886
PG,2023,93669
PG,2023,106524
PG,2023,108486
PG,2023,77867
PG,2023,105392
PG,2023,77633
PG,2023,82790
PG,2023,77396
PG,2023,45187
PG,2023,66150
PG,2023,58110
PG,2023,60861
PG,2023,105653
PG,2023,61319
PG,2023,72437
PG,2023,101658
PG,2023,67724
PG,2023,69632
PG,2023,75389
PG,2023,52838
PG,2023,85381
PG,2023,78320
PG,2023,59646
PG,2023,69910
PG,2023,48750
PG,2023,61250
PG,2023,82594
PG,2023,76598
PG,2023,57649
PG,2023,53503
PG,2023,40905
PG,2023,57702
PG,2023,52243
PG,2023,74687
